Issue key,Issue Type,Epic Link,Summary,Description,Priority,Status,Component,Reporter,Labels,Created
HRZN-33,Story,HRZN-3,Wishlist / save for later,As a shopper I want to save products to a wishlist to buy later. Flagged in discovery as a 'maybe'; likely lives in the account area.,Low,Backlog,Growth,Ananya Bose,"phase2,could-have",2026-02-13 11:10
HRZN-34,Story,HRZN-3,Back-in-stock notify signup,As a shopper viewing an out-of-stock item I want to sign up to be emailed when it's back. Per Ops intake A3. Transactional-ish but confirm consent treatment.,Low,Backlog,Growth,Sameer Qureshi,lifecycle,2026-02-16 11:12
HRZN-35,Story,HRZN-3,Conversion funnel analytics instrumentation,As Growth I want the funnel instrumented (view -> PDP -> add-to-cart -> checkout -> purchase) so we can see and fix drop-off. Satisfies the BRD 'visibility' objective. MUST respect cookie/marketing consent (HRZN-75). Ties to NFR-OBS-02.,Medium,To Do,Growth,Ananya Bose,"growth,analytics",2026-02-16 11:14
HRZN-40,Story,HRZN-4,Catalog CMS - manage products without eng,"As a merchandiser I want to create/edit/publish/unpublish products, prices and images myself, so I don't raise an eng ticket for catalog changes. Core reason for the rebuild per BRD.",High,To Do,Admin,Karan Malhotra,"mvp,admin,cms",2026-02-13 12:00
HRZN-41,Story,HRZN-4,Manageable category tree,As an admin I want to define and reorganise the category tree (used by nav + breadcrumbs + facets) without code.,Medium,To Do,Admin,Dev Prasad,"admin,cms",2026-02-13 12:03
HRZN-42,Story,HRZN-4,Role-based admin access (RBAC),"As an admin I want role-based access control so ops, CX, merchandising and finance each see only what they should. Enforced per NFR-SEC-07; actions audit-logged per NFR-SEC-08.",Medium,To Do,Admin,Dev Prasad,"admin,security,rbac",2026-02-13 12:06
HRZN-43,Story,HRZN-4,Order management view for staff,"Staff can view orders, update order state, trigger refunds/credit notes, and see payment + fulfilment status in one place (lightweight OMS view).",High,To Do,Admin,Sameer Qureshi,"mvp,admin,oms",2026-02-13 12:09
HRZN-44,Story,HRZN-4,"Pricing display (MRP, discount, tax-inclusive)","As a shopper I want to see selling price with MRP strikethrough and discount %, with prices shown tax-inclusive (invoice still shows the tax split per Finance). Admin sets MRP + selling price per SKU.",Medium,To Do,Admin,Karan Malhotra,"pdp,pricing",2026-02-16 12:12
HRZN-45,Story,HRZN-4,Content pages CMS (home banners + policy pages),"As a team I want to manage homepage banners and static/policy pages (T&C, Privacy, Return, Shipping, Cookie) as editable content, not hard-coded, so we can update copy without a developer. Hosts the Legal policy pages (HRZN-71).",Medium,To Do,Admin,Karan Malhotra,"cms,compliance",2026-02-17 12:15
HRZN-46,Story,HRZN-4,Staff reporting dashboard,"As the business I want a basic dashboard of sales, orders and stock (no manual spreadsheet exports), so we finally have visibility. Directly satisfies the BRD 'visibility' objective.",Medium,To Do,Admin,Meera Iyer,"admin,reporting",2026-02-17 12:18
HRZN-60,Story,HRZN-5,Register (email + password),"As a new customer I want to create an account with email + password, so I can save details and see my orders. Password rules enforced; stored hashed per NFR-SEC-02.",High,To Do,Accounts,Karan Malhotra,"mvp,accounts",2026-02-16 13:00
HRZN-61,Story,HRZN-5,Login / logout + session,"As a returning customer I want to log in and log out securely, with a 'remember me' option. Session handling per NFR-SEC-03; rate-limited per NFR-SEC-05.",High,To Do,Accounts,Karan Malhotra,"mvp,accounts",2026-02-16 13:02
HRZN-62,Story,HRZN-5,Password reset,"As a customer who forgot my password I want a secure reset via email link / OTP, so I can regain access. Rate-limited; link/OTP expires.",High,To Do,Accounts,Karan Malhotra,"mvp,accounts",2026-02-16 13:04
HRZN-63,Story,HRZN-5,Profile management,"As a customer I want to view and edit my profile (name, contact, communication preferences).",Medium,To Do,Accounts,Karan Malhotra,"mvp,accounts",2026-02-16 13:06
HRZN-64,Story,HRZN-5,Address book (multiple + default),"As a customer I want to save multiple delivery addresses and pick a default, so checkout is faster. Feeds express checkout (HRZN-24).",High,To Do,Accounts,Karan Malhotra,"mvp,accounts",2026-02-16 13:08
HRZN-65,Story,HRZN-5,Email / mobile verification (OTP),"As the platform I want to verify a customer's email and/or mobile via OTP at signup, to reduce fake accounts and enable order comms. Rate-limited per NFR-SEC-05.",Medium,To Do,Accounts,Dev Prasad,"accounts,security",2026-02-16 13:10
HRZN-66,Story,HRZN-5,Social / OTP-based login,"As a customer I want to log in via Google or mobile OTP instead of a password. NICE-TO-HAVE - likely phase 2, decision pending.",Low,Backlog,Accounts,Ananya Bose,"phase2,could-have",2026-02-16 13:12
HRZN-67,Story,HRZN-5,Marketing consent capture (opt-in),"As the platform I must capture marketing consent SEPARATELY and OPT-IN (not bundled with signup or T&C) per Legal, and store the consent state, so promo/marketing sends only go to opted-in users. Provide easy withdraw/unsubscribe.",High,To Do,Accounts,Karan Malhotra,"mvp,compliance,consent",2026-02-17 13:14
HRZN-70,Story,HRZN-6,Order history list,"As a customer I want to see a list of my past and current orders with status, so I can keep track. Guest orders lookup via order-number + email (since guest checkout has no account).",High,To Do,Orders,Karan Malhotra,"mvp,orders",2026-02-16 14:00
HRZN-71,Story,HRZN-6,Order detail + status timeline + tracking,"As a customer I want an order detail page showing items, amounts, a status timeline (Confirmed -> Shipped -> Delivered) and the carrier tracking link/AWB. Tracking data per Ops intake C1.",High,To Do,Orders,Karan Malhotra,"mvp,orders,shipping",2026-02-16 14:02
HRZN-72,Story,HRZN-6,Download GST invoice from order page,As a customer I want to download the GST tax-invoice PDF for my order (and a credit note for refunds). Invoice content/compliance per payments thread (Finance).,Medium,To Do,Orders,Priyanka Sethi,"orders,compliance,finance",2026-02-16 14:04
HRZN-73,Story,HRZN-6,Raise a return (RMA) from order page,"As a customer I want to request a return for eligible items from my order page within the return window, kicking off the RMA flow (CX approval -> reverse pickup -> inspect -> refund/credit note). Full flow per Ops/CX intake E. Window (7 vs 10 days) UNDECIDED.",Medium,To Do,Orders,Neha Gupta,"orders,returns,disputed",2026-02-16 14:06
HRZN-74,Story,HRZN-6,Cancel order (pre-shipment) from order page,"As a customer I want to cancel an order before it ships, triggering stock release and a refund if prepaid. Per Ops intake B2.",Medium,To Do,Orders,Sameer Qureshi,orders,2026-02-16 14:08
HRZN-75,Story,HRZN-6,Reorder,"As a returning customer I want to reorder a past order in one tap. NICE-TO-HAVE, phase 2.",Low,Backlog,Orders,Ananya Bose,"phase2,could-have",2026-02-16 14:10
HRZN-80,Story,HRZN-7,Cookie consent banner,"As required by Legal, show a cookie-consent banner on first visit allowing accept/reject of non-essential (analytics/marketing) cookies; store the choice; don't fire non-essential trackers before consent. Gates analytics (HRZN-35).",High,To Do,Platform,Karan Malhotra,"mvp,compliance,consent",2026-02-17 15:00
HRZN-81,Story,HRZN-7,Policy pages live + footer links,"T&C, Privacy Policy, Return/Refund/Cancellation Policy, Shipping Policy, Cookie Policy - all live at launch, linked in the footer sitewide and at checkout. Managed as content via CMS (HRZN-45). Per Legal.",High,To Do,Platform,Karan Malhotra,"mvp,compliance",2026-02-17 15:02
HRZN-82,Story,HRZN-7,T&C + return policy acceptance at checkout,"Before placing an order the customer must tick (not pre-ticked) acceptance of the Terms and Return Policy, with links. Record acceptance + terms version + timestamp against the order. Per Legal point 2.",High,To Do,Platform,Karan Malhotra,"mvp,compliance,checkout",2026-02-17 15:04
HRZN-83,Story,HRZN-7,Data-subject requests (access / correction / erasure),"Provide a documented way for a customer to request access to, correction of, or erasure of their personal data (admin-assisted acceptable for launch). Erasure must NOT delete statutory tax records (Finance) - erase profile/marketing data, retain invoices. Per Legal point 5 + Priyanka.",Medium,To Do,Platform,Karan Malhotra,"compliance,privacy",2026-02-17 15:06
HRZN-84,Story,HRZN-7,Publish Grievance Officer details,Publish name/role + contact email of a Grievance Officer on the site as required (DPDP). CX (Neha) owns the inbox. Per Legal point 6.,Low,To Do,Platform,Neha Gupta,compliance,2026-02-17 15:08
HRZN-50,Bug,HRZN-1,Facet counts wrong after applying a filter,"Repro: apply brand facet, price facet counts don't recalculate against the filtered set - still show global counts. Expected: counts reflect current facet selection.",Medium,To Do,Discovery,Dev Prasad,"bug,search",2026-02-14 15:30
HRZN-51,Bug,HRZN-2,Stock not released on abandoned unpaid order,"If checkout is started (stock reserved) but payment never completes, reserved stock isn't released after timeout - risks phantom out-of-stock. Needs a reservation timeout. Ties to NFR-SCL-02.",High,To Do,Checkout,Dev Prasad,"bug,inventory,edge-case",2026-02-14 15:36
